from,to
N07 N08 G S39,N07 N08 G S39 S31
N07 N08 G S40,N07 N08 G S40 N27
N07 N09 G N01,N07 N09 G N01 S35
N07 N09 G N02,N07 N09 G N02 N24
N07 N09 G N03,N07 N09 G N03 N24
N07 N09 G N04,N07 N09 G N04 N17
N07 N09 G N05,N07 N09 G N05 N01
N07 N09 G N06,N07 N09 G N06 N24
N07 N09 G N08,N07 N09 G N08 N11
N07 N09 G N09+,N07 N09 G N09+ N11
N07 N09 G N10,N07 N09 G N10 N14
N07 N09 G N11,N07 N09 G N11 S33
N07 N09 G N12,N07 N09 G N12 N15
N07 N09 G N13,N07 N09 G N13 N24
N07 N09 G N14,N07 N09 G N14 N11
N07 N09 G N15,N07 N09 G N15 N13
N07 N09 G N16,N07 N09 G N16 N11
N07 N09 G N17,N07 N09 G N17 N13
N07 N09 G N18,N07 N09 G N18 N13
N07 N09 G N19,N07 N09 G N19 N13
N07 N09 G N20,N07 N09 G N20 N24
N07 N09 G N21,N07 N09 G N21 N22
N07 N09 G N22,N07 N09 G N22 N11
N07 N09 G N23,N07 N09 G N23 N11
N07 N09 G N24,N07 N09 G N24 N11
N07 N09 G N25,N07 N09 G N25 S34
N07 N09 G N26,N07 N09 G N26 S33
N07 N09 G N27,N07 N09 G N27 N15
N07 N09 G N28,N07 N09 G N28 S33
N07 N09 G N29,N07 N09 G N29 S33
N07 N09 G N30,N07 N09 G N30 S33
N07 N09 G N31,N07 N09 G N31 N11
N07 N09 G N32,N07 N09 G N32 N11
N07 N09 G N33,N07 N09 G N33 N11
N07 N09 G N34,N07 N09 G N34 N13
N07 N09 G N35,N07 N09 G N35 N13
N07 N09 G N36,N07 N09 G N36 N13
N07 N09 G N37,N07 N09 G N37 N13
N07 N09 G N38,N07 N09 G N38 S33
N07 N09 G N39,N07 N09 G N39 N24
N07 N09 G N40,N07 N09 G N40 N24
N07 N09 G S01,N07 N09 G S01 S33
N07 N09 G S02,N07 N09 G S02 S33
N07 N09 G S03,N07 N09 G S03 N24
N07 N09 G S04,N07 N09 G S04 N13
N07 N09 G S05,N07 N09 G S05 N13
N07 N09 G S06,N07 N09 G S06 N24
N07 N09 G S07,N07 N09 G S07 N13
N07 N09 G S08,N07 N09 G S08 N13
N07 N09 G S09,N07 N09 G S09 S33
N07 N09 G S10,N07 N09 G S10 S33
N07 N09 G S11,N07 N09 G S11 S33
N07 N09 G S12,N07 N09 G S12 S33
N07 N09 G S13,N07 N09 G S13 N24
N07 N09 G S14,N07 N09 G S14 N24
N07 N09 G S15,N07 N09 G S15 N11
N07 N09 G S16,N07 N09 G S16 N13
N07 N09 G S17,N07 N09 G S17 N13
N07 N09 G S18,N07 N09 G S18 N13
N07 N09 G S19,N07 N09 G S19 N11
N07 N09 G S20,N07 N09 G S20 N11
N07 N09 G S21,N07 N09 G S21 S33
N07 N09 G S22,N07 N09 G S22 N11
N07 N09 G S23,N07 N09 G S23 N11
N07 N09 G S24,N07 N09 G S24 N13
N07 N09 G S25,N07 N09 G S25 N13
N07 N09 G S26,N07 N09 G S26 N13
N07 N09 G S27,N07 N09 G S27 S33
N07 N09 G S28,N07 N09 G S28 S33
N07 N09 G S29,N07 N09 G S29 S33
N07 N09 G S30,N07 N09 G S30 N24
N07 N09 G S31,N07 N09 G S31 N24
N07 N09 G S32,N07 N09 G S32 N11
N07 N09 G S33,N07 N09 G S33 N11
N07 N09 G S34,N07 N09 G S34 N11
N07 N09 G S35,N07 N09 G S35 N13
N07 N09 G S36,N07 N09 G S36 N13
N07 N09 G S37,N07 N09 G S37 N15
N07 N09 G S38,N07 N09 G S38 N15
N07 N09 G S39,N07 N09 G S39 S33
N07 N09 G S40,N07 N09 G S40 S33
N07 N10 G N01,N07 N10 G N01 S36
N07 N10 G N02,N07 N10 G N02 S36
N07 N10 G N03,N07 N10 G N03 N17
N07 N10 G N04,N07 N10 G N04 N03
N07 N10 G N05,N07 N10 G N05 N18
N07 N10 G N06,N07 N10 G N06 N16
N07 N10 G N08,N07 N10 G N08 N14
N07 N10 G N09,N07 N10 G N09 N14
N07 N10 G N10+,N07 N10 G N10+ N25
N07 N10 G N11,N07 N10 G N11 S35
N07 N10 G N12,N07 N10 G N12 S36
N07 N10 G N13,N07 N10 G N13 N15
N07 N10 G N14,N07 N10 G N14 N25
N07 N10 G N15,N07 N10 G N15 N25
N07 N10 G N16,N07 N10 G N16 N03
N07 N10 G N17,N07 N10 G N17 N03
N07 N10 G N18,N07 N10 G N18 N03
N07 N10 G N19,N07 N10 G N19 N03
N07 N10 G N20,N07 N10 G N20 N03
N07 N10 G N21,N07 N10 G N21 N25
N07 N10 G N22,N07 N10 G N22 N25
N07 N10 G N23,N07 N10 G N23 N12
N07 N10 G N24,N07 N10 G N24 N25
N07 N10 G N25,N07 N10 G N25 N14
N07 N10 G N26,N07 N10 G N26 S35
N07 N10 G N27,N07 N10 G N27 N14
N07 N10 G N28,N07 N10 G N28 N14
N07 N10 G N29,N07 N10 G N29 S34
N07 N10 G N30,N07 N10 G N30 S33
N07 N10 G N31,N07 N10 G N31 N25
N07 N10 G N32,N07 N10 G N32 N25
N07 N10 G N33,N07 N10 G N33 N25
N07 N10 G N34,N07 N10 G N34 N14
N07 N10 G N35,N07 N10 G N35 N03
N07 N10 G N36,N07 N10 G N36 N03
N07 N10 G N37,N07 N10 G N37 N03
N07 N10 G N38,N07 N10 G N38 N16
N07 N10 G N39,N07 N10 G N39 N16
N07 N10 G N40,N07 N10 G N40 S34
N07 N10 G S01,N07 N10 G S01 S36
N07 N10 G S02,N07 N10 G S02 S36
N07 N10 G S03,N07 N10 G S03 S36
N07 N10 G S04,N07 N10 G S04 S36
N07 N10 G S05,N07 N10 G S05 N03
N07 N10 G S06,N07 N10 G S06 S07
N07 N10 G S07,N07 N10 G S07 S36
N07 N10 G S08,N07 N10 G S08 N14
N07 N10 G S09,N07 N10 G S09 N14
N07 N10 G S10,N07 N10 G S10 S34
N07 N10 G S11,N07 N10 G S11 S34
N07 N10 G S12,N07 N10 G S12 S34
N07 N10 G S13,N07 N10 G S13 S34
N07 N10 G S14,N07 N10 G S14 N25
N07 N10 G S15,N07 N10 G S15 N25
N07 N10 G S16,N07 N10 G S16 S36
N07 N10 G S17,N07 N10 G S17 N03
N07 N10 G S18,N07 N10 G S18 N03
N07 N10 G S19,N07 N10 G S19 N03
N07 N10 G S20,N07 N10 G S20 S02
N07 N10 G S21,N07 N10 G S21 S09
N07 N10 G S22,N07 N10 G S22 N25
N07 N10 G S23,N07 N10 G S23 N14
N07 N10 G S24,N07 N10 G S24 N14
N07 N10 G S25,N07 N10 G S25 N14
N07 N10 G S26,N07 N10 G S26 N14
N07 N10 G S27,N07 N10 G S27 N17
N07 N10 G S28,N07 N10 G S28 N16
N07 N10 G S29,N07 N10 G S29 S34
N07 N10 G S30,N07 N10 G S30 S34
N07 N10 G S31,N07 N10 G S31 S34
N07 N10 G S32,N07 N10 G S32 N25
N07 N10 G S33,N07 N10 G S33 N25
N07 N10 G S34,N07 N10 G S34 N25
N07 N10 G S35,N07 N10 G S35 N03
N07 N10 G S36,N07 N10 G S36 N03
N07 N10 G S37,N07 N10 G S37 N03
N07 N10 G S38,N07 N10 G S38 N16
N07 N10 G S39,N07 N10 G S39 S09
N07 N10 G S40,N07 N10 G S40 S09
N07 N11 G N01,N07 N11 G N01 S35
N07 N11 G N02,N07 N11 G N02 S35
N07 N11 G N03,N07 N11 G N03 S35
N07 N11 G N04,N07 N11 G N04 N26
N07 N11 G N05,N07 N11 G N05 N18
N07 N11 G N06,N07 N11 G N06 N15
N07 N11 G N08,N07 N11 G N08 N15
N07 N11 G N09,N07 N11 G N09 N15
N07 N11 G N10,N07 N11 G N10 N15
N07 N11 G N11+,N07 N11 G N11+ N15
N07 N11 G N12,N07 N11 G N12 S35
N07 N11 G N13,N07 N11 G N13 S35
N07 N11 G N14,N07 N11 G N14 N26
N07 N11 G N15,N07 N11 G N15 N26
N07 N11 G N16,N07 N11 G N16 N17
N07 N11 G N17,N07 N11 G N17 N13
N07 N11 G N18,N07 N11 G N18 N13
N07 N11 G N19,N07 N11 G N19 N13
N07 N11 G N20,N07 N11 G N20 N13
N07 N11 G N21,N07 N11 G N21 N26
N07 N11 G N22,N07 N11 G N22 N26
N07 N11 G N23,N07 N11 G N23 S32
N07 N11 G N24,N07 N11 G N24 S33
N07 N11 G N25,N07 N11 G N25 N15
N07 N11 G N26,N07 N11 G N26 N15
N07 N11 G N27,N07 N11 G N27 N15
N07 N11 G N28,N07 N11 G N28 N15
N07 N11 G N29,N07 N11 G N29 N15
N07 N11 G N30,N07 N11 G N30 S35
N07 N11 G N31,N07 N11 G N31 S35
N07 N11 G N32,N07 N11 G N32 S35
N07 N11 G N33,N07 N11 G N33 N26
N07 N11 G N34,N07 N11 G N34 N13
N07 N11 G N35,N07 N11 G N35 N13
N07 N11 G N36,N07 N11 G N36 N15
N07 N11 G N37,N07 N11 G N37 N15
N07 N11 G N38,N07 N11 G N38 N15
N07 N11 G N39,N07 N11 G N39 N15
N07 N11 G N40,N07 N11 G N40 S35
N07 N11 G S01,N07 N11 G S01 N15
N07 N11 G S02,N07 N11 G S02 S35
N07 N11 G S03,N07 N11 G S03 S35
N07 N11 G S04,N07 N11 G S04 N26
N07 N11 G S05,N07 N11 G S05 N15
N07 N11 G S06,N07 N11 G S06 N15
N07 N11 G S07,N07 N11 G S07 S35
N07 N11 G S08,N07 N11 G S08 S35
N07 N11 G S09,N07 N11 G S09 N15
N07 N11 G S10,N07 N11 G S10 N15
N07 N11 G S11,N07 N11 G S11 N15
N07 N11 G S12,N07 N11 G S12 S35
N07 N11 G S13,N07 N11 G S13 S35
N07 N11 G S14,N07 N11 G S14 S35
N07 N11 G S15,N07 N11 G S15 N26
N07 N11 G S16,N07 N11 G S16 N26
N07 N11 G S17,N07 N11 G S17 N13
N07 N11 G S18,N07 N11 G S18 N15
N07 N11 G S19,N07 N11 G S19 N15
N07 N11 G S20,N07 N11 G S20 N15
N07 N11 G S21,N07 N11 G S21 S35
N07 N11 G S22,N07 N11 G S22 S35
N07 N11 G S23,N07 N11 G S23 S35
N07 N11 G S24,N07 N11 G S24 N13
N07 N11 G S25,N07 N11 G S25 N15
N07 N11 G S26,N07 N11 G S26 N15
N07 N11 G S27,N07 N11 G S27 N15
N07 N11 G S28,N07 N11 G S28 N15
N07 N11 G S29,N07 N11 G S29 S35
N07 N11 G S30,N07 N11 G S30 S35
N07 N11 G S31,N07 N11 G S31 S35
N07 N11 G S32,N07 N11 G S32 N26
N07 N11 G S33,N07 N11 G S33 N26
N07 N11 G S34,N07 N11 G S34 S33
N07 N11 G S35,N07 N11 G S35 N13
N07 N11 G S36,N07 N11 G S36 N15
N07 N11 G S37,N07 N11 G S37 N15
N07 N11 G S38,N07 N11 G S38 N15
N07 N11 G S39,N07 N11 G S39 S03
N07 N11 G S40,N07 N11 G S40 S35
N07 N12 G N01,N07 N12 G N01 S36
N07 N12 G N02,N07 N12 G N02 N17
N07 N12 G N03,N07 N12 G N03 N17
N07 N12 G N04,N07 N12 G N04 N37
N07 N12 G N05,N07 N12 G N05 N37
N07 N12 G N06,N07 N12 G N06 N14
N07 N12 G N08,N07 N12 G N08 N14
N07 N12 G N09,N07 N12 G N09 S33
N07 N12 G N10,N07 N12 G N10 N14
N07 N12 G N11,N07 N12 G N11 S35
N07 N12 G N12+,N07 N12 G N12+ N14
N07 N12 G N13,N07 N12 G N13 N17
N07 N12 G N14,N07 N12 G N14 S36
N07 N12 G N15,N07 N12 G N15 S36
N07 N12 G N16,N07 N12 G N16 N17
N07 N12 G N17,N07 N12 G N17 N14
N07 N12 G N18,N07 N12 G N18 N14
N07 N12 G N19,N07 N12 G N19 N16
N07 N12 G N20,N07 N12 G N20 N04
N07 N12 G N21,N07 N12 G N21 S36
N07 N12 G N22,N07 N12 G N22 S36
N07 N12 G N23,N07 N12 G N23 N25
N07 N12 G N24,N07 N12 G N24 S33
N07 N12 G N25,N07 N12 G N25 S33
N07 N12 G N26,N07 N12 G N26 N14
N07 N12 G N27,N07 N12 G N27 S35
N07 N12 G N28,N07 N12 G N28 N14
N07 N12 G N29,N07 N12 G N29 S35
N07 N12 G N30,N07 N12 G N30 S35
N07 N12 G N31,N07 N12 G N31 S35
N07 N12 G N32,N07 N12 G N32 S36
N07 N12 G N33,N07 N12 G N33 S36
N07 N12 G N34,N07 N12 G N34 N14
N07 N12 G N35,N07 N12 G N35 N14
N07 N12 G N36,N07 N12 G N36 N14
N07 N12 G N37,N07 N12 G N37 N16
N07 N12 G N38,N07 N12 G N38 N16
N07 N12 G N39,N07 N12 G N39 N17
N07 N12 G N40,N07 N12 G N40 N17
N07 N12 G S01,N07 N12 G S01 S02
N07 N12 G S02,N07 N12 G S02 S36
N07 N12 G S03,N07 N12 G S03 S36
N07 N12 G S04,N07 N12 G S04 S36
N07 N12 G S05,N07 N12 G S05 N16
N07 N12 G S06,N07 N12 G S06 S10
N07 N12 G S07,N07 N12 G S07 S02
N07 N12 G S08,N07 N12 G S08 S09
N07 N12 G S09,N07 N12 G S09 N14
N07 N12 G S10,N07 N12 G S10 S35
N07 N12 G S11,N07 N12 G S11 N15
N07 N12 G S12,N07 N12 G S12 S36
N07 N12 G S13,N07 N12 G S13 S36
N07 N12 G S14,N07 N12 G S14 S35
N07 N12 G S15,N07 N12 G S15 S36
N07 N12 G S16,N07 N12 G S16 S36
N07 N12 G S17,N07 N12 G S17 N14
N07 N12 G S18,N07 N12 G S18 N14
N07 N12 G S19,N07 N12 G S19 N16
N07 N12 G S20,N07 N12 G S20 S03
N07 N12 G S21,N07 N12 G S21 S11
N07 N12 G S22,N07 N12 G S22 S26
N07 N12 G S23,N07 N12 G S23 S36
N07 N12 G S24,N07 N12 G S24 N14
N07 N12 G S25,N07 N12 G S25 N14
N07 N12 G S26,N07 N12 G S26 N14
N07 N12 G S27,N07 N12 G S27 N34
N07 N12 G S28,N07 N12 G S28 N35
N07 N12 G S29,N07 N12 G S29 S35
N07 N12 G S30,N07 N12 G S30 S35
N07 N12 G S31,N07 N12 G S31 S36
N07 N12 G S32,N07 N12 G S32 S36
N07 N12 G S33,N07 N12 G S33 S36
N07 N12 G S34,N07 N12 G S34 S33
N07 N12 G S35,N07 N12 G S35 S36
N07 N12 G S36,N07 N12 G S36 S35
N07 N12 G S37,N07 N12 G S37 S16
N07 N12 G S38,N07 N12 G S38 S16
N07 N12 G S39,N07 N12 G S39 S04
N07 N12 G S40,N07 N12 G S40 S03
N07 N13 G N01,N07 N13 G N01 S36
N07 N13 G N02,N07 N13 G N02 N17
N07 N13 G N03,N07 N13 G N03 N26
N07 N13 G N04,N07 N13 G N04 N17
N07 N13 G N05,N07 N13 G N05 N29
N07 N13 G N06,N07 N13 G N06 N15
N07 N13 G N08,N07 N13 G N08 N11
N07 N13 G N09,N07 N13 G N09 N15
N07 N13 G N10,N07 N13 G N10 N15
N07 N13 G N11,N07 N13 G N11 S35
N07 N13 G N12,N07 N13 G N12 N17
N07 N13 G N13+,N07 N13 G N13+ N15
N07 N13 G N14,N07 N13 G N14 S36
N07 N13 G N15,N07 N13 G N15 S36
N07 N13 G N16,N07 N13 G N16 N17
N07 N13 G N17,N07 N13 G N17 N37
N07 N13 G N18,N07 N13 G N18 N38
N07 N13 G N19,N07 N13 G N19 N29
N07 N13 G N20,N07 N13 G N20 N04
N07 N13 G N21,N07 N13 G N21 N17
N07 N13 G N22,N07 N13 G N22 S36
N07 N13 G N23,N07 N13 G N23 N11
N07 N13 G N24,N07 N13 G N24 N11
N07 N13 G N25,N07 N13 G N25 N11
N07 N13 G N26,N07 N13 G N26 N15
N07 N13 G N27,N07 N13 G N27 S35
N07 N13 G N28,N07 N13 G N28 S35
N07 N13 G N29,N07 N13 G N29 S35
N07 N13 G N30,N07 N13 G N30 S36
N07 N13 G N31,N07 N13 G N31 N36
N07 N13 G N32,N07 N13 G N32 S35
N07 N13 G N33,N07 N13 G N33 S36
N07 N13 G N34,N07 N13 G N34 S36
N07 N13 G N35,N07 N13 G N35 N36
N07 N13 G N36,N07 N13 G N36 N15
N07 N13 G N37,N07 N13 G N37 N15
N07 N13 G N38,N07 N13 G N38 N17
N07 N13 G N39,N07 N13 G N39 N17
N07 N13 G N40,N07 N13 G N40 N17
N07 N13 G S01,N07 N13 G S01 N29
N07 N13 G S02,N07 N13 G S02 N17
N07 N13 G S03,N07 N13 G S03 S36
N07 N13 G S04,N07 N13 G S04 S36
N07 N13 G S05,N07 N13 G S05 N29
N07 N13 G S06,N07 N13 G S06 S04
N07 N13 G S07,N07 N13 G S07 N17
N07 N13 G S08,N07 N13 G S08 N26
N07 N13 G S09,N07 N13 G S09 N15
N07 N13 G S10,N07 N13 G S10 N15
N07 N13 G S11,N07 N13 G S11 N15
N07 N13 G S12,N07 N13 G S12 N17
N07 N13 G S13,N07 N13 G S13 S36
N07 N13 G S14,N07 N13 G S14 S36
N07 N13 G S15,N07 N13 G S15 S36
N07 N13 G S16,N07 N13 G S16 S36
N07 N13 G S17,N07 N13 G S17 N29
N07 N13 G S18,N07 N13 G S18 N29
N07 N13 G S19,N07 N13 G S19 N17
N07 N13 G S20,N07 N13 G S20 N17
N07 N13 G S21,N07 N13 G S21 S04
N07 N13 G S22,N07 N13 G S22 S36
N07 N13 G S23,N07 N13 G S23 S10
N07 N13 G S24,N07 N13 G S24 N26
N07 N13 G S25,N07 N13 G S25 N15
N07 N13 G S26,N07 N13 G S26 N15
N07 N13 G S27,N07 N13 G S27 N15
N07 N13 G S28,N07 N13 G S28 N17
N07 N13 G S29,N07 N13 G S29 N17
N07 N13 G S30,N07 N13 G S30 N17
N07 N13 G S31,N07 N13 G S31 S36
N07 N13 G S32,N07 N13 G S32 S36
N07 N13 G S33,N07 N13 G S33 S36
N07 N13 G S34,N07 N13 G S34 N11
N07 N13 G S35,N07 N13 G S35 S36
N07 N13 G S36,N07 N13 G S36 N15
N07 N13 G S37,N07 N13 G S37 N15
N07 N13 G S38,N07 N13 G S38 S18
N07 N13 G S39,N07 N13 G S39 N17
N07 N13 G S40,N07 N13 G S40 N17
N07 N14 G N01,N07 N14 G N01 S36
N07 N14 G N02,N07 N14 G N02 S35
N07 N14 G N03,N07 N14 G N03 N28
N07 N14 G N04,N07 N14 G N04 N37
N07 N14 G N05,N07 N14 G N05 N28
N07 N14 G N06,N07 N14 G N06 N35
N07 N14 G N08,N07 N14 G N08 N12
N07 N14 G N09,N07 N14 G N09 N12
N07 N14 G N10,N07 N14 G N10 S35
N07 N14 G N11,N07 N14 G N11 S35
N07 N14 G N12,N07 N14 G N12 S36
N07 N14 G N13,N07 N14 G N13 S36
N07 N14 G N14+,N07 N14 G N14+ N28
N07 N14 G N15,N07 N14 G N15 N36
N07 N14 G N16,N07 N14 G N16 N36
N07 N14 G N17,N07 N14 G N17 S28
N07 N14 G N18,N07 N14 G N18 S29
N07 N14 G N19,N07 N14 G N19 N38
N07 N14 G N20,N07 N14 G N20 N18
N07 N14 G N21,N07 N14 G N21 N37
N07 N14 G N22,N07 N14 G N22 S36
N07 N14 G N23,N07 N14 G N23 N12
N07 N14 G N24,N07 N14 G N24 N27
N07 N14 G N25,N07 N14 G N25 N12
N07 N14 G N26,N07 N14 G N26 N27
N07 N14 G N27,N07 N14 G N27 S35
N07 N14 G N28,N07 N14 G N28 S35
N07 N14 G N29,N07 N14 G N29 S36
N07 N14 G N30,N07 N14 G N30 N35
N07 N14 G N31,N07 N14 G N31 N36
N07 N14 G N32,N07 N14 G N32 S36
N07 N14 G N33,N07 N14 G N33 S36
N07 N14 G N34,N07 N14 G N34 N12
N07 N14 G N35,N07 N14 G N35 N28
N07 N14 G N36,N07 N14 G N36 S29
N07 N14 G N37,N07 N14 G N37 S29
N07 N14 G N38,N07 N14 G N38 N37
N07 N14 G N39,N07 N14 G N39 N37
N07 N14 G N40,N07 N14 G N40 N37
N07 N14 G S01,N07 N14 G S01 S02
N07 N14 G S02,N07 N14 G S02 N12
N07 N14 G S03,N07 N14 G S03 N37
N07 N14 G S04,N07 N14 G S04 N28
N07 N14 G S05,N07 N14 G S05 N30
N07 N14 G S06,N07 N14 G S06 S04
N07 N14 G S07,N07 N14 G S07 S03
N07 N14 G S08,N07 N14 G S08 S03
N07 N14 G S09,N07 N14 G S09 N12
N07 N14 G S10,N07 N14 G S10 N12
N07 N14 G S11,N07 N14 G S11 N35
N07 N14 G S12,N07 N14 G S12 N37
N07 N14 G S13,N07 N14 G S13 N37
N07 N14 G S14,N07 N14 G S14 S36
N07 N14 G S15,N07 N14 G S15 N28
N07 N14 G S16,N07 N14 G S16 N28
N07 N14 G S17,N07 N14 G S17 N28
N07 N14 G S18,N07 N14 G S18 N30
N07 N14 G S19,N07 N14 G S19 N30
N07 N14 G S20,N07 N14 G S20 S19
N07 N14 G S21,N07 N14 G S21 S16
N07 N14 G S22,N07 N14 G S22 S36
N07 N14 G S23,N07 N14 G S23 S13
N07 N14 G S24,N07 N14 G S24 N27
N07 N14 G S25,N07 N14 G S25 N12
N07 N14 G S26,N07 N14 G S26 N12
N07 N14 G S27,N07 N14 G S27 N35
N07 N14 G S28,N07 N14 G S28 N35
N07 N14 G S29,N07 N14 G S29 N35
N07 N14 G S30,N07 N14 G S30 N37
N07 N14 G S31,N07 N14 G S31 S28
N07 N14 G S32,N07 N14 G S32 S36
N07 N14 G S33,N07 N14 G S33 S36
N07 N14 G S34,N07 N14 G S34 N27
N07 N14 G S35,N07 N14 G S35 S36
N07 N14 G S36,N07 N14 G S36 N12
N07 N14 G S37,N07 N14 G S37 S38
N07 N14 G S38,N07 N14 G S38 S37
N07 N14 G S39,N07 N14 G S39 S17
N07 N14 G S40,N07 N14 G S40 S18
N07 N15 G N01,N07 N15 G N01 S28
N07 N15 G N02,N07 N15 G N02 N11
N07 N15 G N03,N07 N15 G N03 N27
N07 N15 G N04,N07 N15 G N04 N36
N07 N15 G N05,N07 N15 G N05 N29
N07 N15 G N06,N07 N15 G N06 N17
N07 N15 G N08,N07 N15 G N08 N27
N07 N15 G N09,N07 N15 G N09 N11
N07 N15 G N10,N07 N15 G N10 S35
N07 N15 G N11,N07 N15 G N11 S35
N07 N15 G N12,N07 N15 G N12 S36
N07 N15 G N13,N07 N15 G N13 N36
N07 N15 G N14,N07 N15 G N14 N28
N07 N15 G N15+,N07 N15 G N15+ N36
N07 N15 G N16,N07 N15 G N16 S28
N07 N15 G N17,N07 N15 G N17 S28
N07 N15 G N18,N07 N15 G N18 S29
N07 N15 G N19,N07 N15 G N19 S29
N07 N15 G N20,N07 N15 G N20 N40
N07 N15 G N21,N07 N15 G N21 N37
N07 N15 G N22,N07 N15 G N22 S28
N07 N15 G N23,N07 N15 G N23 N27
N07 N15 G N24,N07 N15 G N24 N27
N07 N15 G N25,N07 N15 G N25 N27
N07 N15 G N26,N07 N15 G N26 N27
N07 N15 G N27,N07 N15 G N27 S35
N07 N15 G N28,N07 N15 G N28 N36
N07 N15 G N29,N07 N15 G N29 S36
N07 N15 G N30,N07 N15 G N30 N36
N07 N15 G N31,N07 N15 G N31 S38
N07 N15 G N32,N07 N15 G N32 S28
N07 N15 G N33,N07 N15 G N33 S28
N07 N15 G N34,N07 N15 G N34 N28
N07 N15 G N35,N07 N15 G N35 N29
N07 N15 G N36,N07 N15 G N36 S29
N07 N15 G N37,N07 N15 G N37 S29
N07 N15 G N38,N07 N15 G N38 N37
N07 N15 G N39,N07 N15 G N39 N17
N07 N15 G N40,N07 N15 G N40 N17
N07 N15 G S01,N07 N15 G S01 N17
N07 N15 G S02,N07 N15 G S02 N34
N07 N15 G S03,N07 N15 G S03 S26
N07 N15 G S04,N07 N15 G S04 S38
N07 N15 G S05,N07 N15 G S05 S39
N07 N15 G S06,N07 N15 G S06 S04
N07 N15 G S07,N07 N15 G S07 S05
N07 N15 G S08,N07 N15 G S08 S03
N07 N15 G S09,N07 N15 G S09 S10
N07 N15 G S10,N07 N15 G S10 N34
N07 N15 G S11,N07 N15 G S11 N34
N07 N15 G S12,N07 N15 G S12 N36
N07 N15 G S13,N07 N15 G S13 N36
N07 N15 G S14,N07 N15 G S14 S28
N07 N15 G S15,N07 N15 G S15 S28
N07 N15 G S16,N07 N15 G S16 S28
N07 N15 G S17,N07 N15 G S17 N29
N07 N15 G S18,N07 N15 G S18 N29
N07 N15 G S19,N07 N15 G S19 N17
N07 N15 G S20,N07 N15 G S20 N17
N07 N15 G S21,N07 N15 G S21 S18
N07 N15 G S22,N07 N15 G S22 S29
N07 N15 G S23,N07 N15 G S23 S16
N07 N15 G S24,N07 N15 G S24 S12
N07 N15 G S25,N07 N15 G S25 S12
N07 N15 G S26,N07 N15 G S26 N29
N07 N15 G S27,N07 N15 G S27 N36
N07 N15 G S28,N07 N15 G S28 N17
N07 N15 G S29,N07 N15 G S29 N36
N07 N15 G S30,N07 N15 G S30 N37
N07 N15 G S31,N07 N15 G S31 S28
N07 N15 G S32,N07 N15 G S32 S28
N07 N15 G S33,N07 N15 G S33 S28
N07 N15 G S34,N07 N15 G S34 N29
N07 N15 G S35,N07 N15 G S35 N29
N07 N15 G S36,N07 N15 G S36 N29
N07 N15 G S37,N07 N15 G S37 N29
N07 N15 G S38,N07 N15 G S38 N37
N07 N15 G S39,N07 N15 G S39 N17
N07 N15 G S40,N07 N15 G S40 S18
N07 N16 G N01,N07 N16 G N01 S28
N07 N16 G N02,N07 N16 G N02 N35
N07 N16 G N03,N07 N16 G N03 N28
N07 N16 G N04,N07 N16 G N04 S28
N07 N16 G N05,N07 N16 G N05 N12
N07 N16 G N06,N07 N16 G N06 N18
N07 N16 G N08,N07 N16 G N08 N14
N07 N16 G N09,N07 N16 G N09 N03
N07 N16 G N10,N07 N16 G N10 N35
N07 N16 G N11,N07 N16 G N11 N26
N07 N16 G N12,N07 N16 G N12 N35
N07 N16 G N13,N07 N16 G N13 N27
N07 N16 G N14,N07 N16 G N14 S28
N07 N16 G N15,N07 N16 G N15 S28
N07 N16 G N16+,N07 N16 G N16+ N14
N07 N16 G N17,N07 N16 G N17 S28
N07 N16 G N18,N07 N16 G N18 S29
N07 N16 G N19,N07 N16 G N19 N14
N07 N16 G N20,N07 N16 G N20 N14
N07 N16 G N21,N07 N16 G N21 N18
N07 N16 G N22,N07 N16 G N22 S28
N07 N16 G N23,N07 N16 G N23 N12
N07 N16 G N24,N07 N16 G N24 N12
N07 N16 G N25,N07 N16 G N25 N12
N07 N16 G N26,N07 N16 G N26 N12
N07 N16 G N27,N07 N16 G N27 N14
N07 N16 G N28,N07 N16 G N28 N14
N07 N16 G N29,N07 N16 G N29 N28
N07 N16 G N30,N07 N16 G N30 N18
N07 N16 G N31,N07 N16 G N31 S38
N07 N16 G N32,N07 N16 G N32 S28
N07 N16 G N33,N07 N16 G N33 S28
N07 N16 G N34,N07 N16 G N34 S11
N07 N16 G N35,N07 N16 G N35 S28
N07 N16 G N36,N07 N16 G N36 N12
N07 N16 G N37,N07 N16 G N37 S29
N07 N16 G N38,N07 N16 G N38 N14
N07 N16 G N39,N07 N16 G N39 N18
N07 N16 G N40,N07 N16 G N40 N18
N07 N16 G S01,N07 N16 G S01 N12
N07 N16 G S02,N07 N16 G S02 N35
N07 N16 G S03,N07 N16 G S03 S28
N07 N16 G S04,N07 N16 G S04 S28
N07 N16 G S05,N07 N16 G S05 N12
N07 N16 G S06,N07 N16 G S06 N14
N07 N16 G S07,N07 N16 G S07 S01
N07 N16 G S08,N07 N16 G S08 S03
N07 N16 G S09,N07 N16 G S09 N12
N07 N16 G S10,N07 N16 G S10 N12
N07 N16 G S11,N07 N16 G S11 N35
N07 N16 G S12,N07 N16 G S12 N35
N07 N16 G S13,N07 N16 G S13 S28
